Table 1
単語,Sentence,,,
いる,今日私は一日中家にいる。,,,
事,あなたの事を思い出しています。,,,
その,その人形に名前はありますか？,,,
する,お絵かきをするのが昔から大好きでした。,,,
それ,それは、イカの足ですよね？,,,
物,うちの家は物で溢れかえっている。,,,
この,この帽子は僕には似合わない。,,,
ある,カレー粉は家にあるの？,,,
そう,そういう言い訳が一番嫌い。,,,
一,折り紙を一枚ください。,,,
ない,白髪はまだ一本もない。,,,
二,二階で熊を飼っています。,,,
達,あなた達はまだ未成年でしょう。,,,
自分,自分の名前も思い出せない。,,,
何,何をしようとしてたのか忘れました。,,,
私,私はマフィアの一員です。,,,
言う,猿が「アイスクリームをくれ」と僕に言いました。,,,
人,人はどうして生まれ、死んで行くのだろう。,,,
見る,続きを見るにはこちらから。,,,
〜さん,森さんは、どちらのご出身ですか？,,,
これ,これは、ホッカイロといいます。,,,
顔,顔にデッカイホクロがあるのが私の特徴です。,,,
いい,いいこともあれば、悪いこともある。,,,
彼,彼は独学で日本語を勉強しています。,,,
なる,彼には映画監督になるという夢があります。,,,
目,目は一重で、黒目の部分は小さいです。,,,
声,君の声は高くもないし低くもないね。,,,
手,指は細くて長く、綺麗な手をしています。,,,
どう,どうすれば、この気持を抑えられるのだろう。,,,
中,奴のポケットの中には銃が入っているかもしれない。,,,
前,腹が減っている時に目の前にケーキを出されたら食べるしかないだろう。,,,
男,男はハンバーガーに勢い良くかぶりついた。,,,
あの,あのリスは、一体どこに住んでいるんだろう。,,,
十,今日は十時間も日本語を勉強した。,,,
もう,もうすっかり大人の顔つきになったね。,,,
三,三女は今年から大学生です。,,,
そんな,そんな話は聞いたことがない。,,,
ところ,どこかに静かに読書ができるところはないかな。,,,
彼女,彼女いない歴３０年です。,,,
来る,チャンスはいつかやって来る。,,,
ここ,ここが俺のお袋の墓だよ。,,,
そして,そして、俺達は付き合うことになった。,,,
思う,いつか世界中を旅してみたいなと思う。,,,
敵,今日の敵は明日の友だちさ。,,,
女,女だからって馬鹿にしないで。,,,
出る,親父と喧嘩して家を出たんだ。,,,
気,いつも人の悪口ばっかり聞かされて、気がめいるよ。,,,
今,今、お蕎麦を湯がいてるから。,,,
出来る,バク転が出来るなんて、大したもんだな。,,,
しかし,しかし、今日はえらく冷えるね。,,,
ため,入院をするため、しばらくお休みします。,,,
俺,俺には今まで友だちがいなかった。,,,
時,あの時、俺はどうかしてたんだ。,,,
僕,僕はピーナッツバターが大好きだ。,,,
上,確かその本は棚の上にしまっていたはずだよ。,,,
しまう,パスポートを引き出しにしまう。,,,
方,山の方で何かが光った。,,,
そこ,そこにレーズンをこぼしてしまった。,,,
話,私の話はつまらないですか？,,,
あなた,あなたとお会いできて良かったです。,,,
言葉,その言葉を初めて聞きました。,,,
まだ,まだ耳がキーンとしています。,,,
頭,三日風呂に入ってないから頭が痒い。,,,
口,辛いものを食べたから口がヒリヒリしている。,,,
音,風鈴の音は、心を落ち着かせますね。,,,
まま,このままずっと二人で一緒にいれたらいいね。,,,
子,あなたの子がお腹にいるの。,,,
どこ,どこで切符を買えばいいですか？,,,
人間,人間と動物の違いは何だと思いますか。,,,
また,またいつかどこかでお会いしましょう。,,,
〜様,部長、山口様がお見えです。,,,
考える,もっと効率がいい方法を考えるべきです。,,,
なく,仕方なく、ゴミ拾いを続けました。,,,
さ,さようでございますか。かしこまりました。,,,
間,ベッドと床の間に、これが隠してあったの。,,,
五,ろうそくを五本買いたいんですが。,,,
でも,でも、歯がザラザラしていて気持ちが悪いです。,,,
内,この気持は、心の内にそっと仕舞っておきます。,,,
心,冷たい言葉が心にグサリと突き刺さりました。,,,
誰,誰がケチャップを持って帰ったの？,,,
だが,だが、彼にはまだ希望もあった。,,,
行く,トイレに行くなら、これを持って行きなさい。,,,
すぐ,食べたらすぐに洗い物をしなさい。,,,
姿,彼女の姿が見えなくなるまで手を振った。,,,
同じ,このロボットは、同じ言葉しか言わない。,,,
こんな,こんな結果になるとは、思いもよらなかった。,,,
出す,お茶を出すつもりだったんですが、お茶っ葉を切らしてしまっていて。,,,
家,こんなに大きな家、見たことありません。,,,
四,四時になったらテレビを付けてみて。,,,
知る,子供は知る必要のないことだ。,,,
聞く,全くあいつは聞く耳を持たないんだから。,,,
部屋,部屋の壁に、秘密の鍵穴を見つけた。,,,
持つ,ダンベルを持つ腕が震える。,,,
こう,こう暑いと、何もする気が起きない。,,,
少し,私の父の足は、いつも少し臭い。,,,
日,日ざしが眩しくて、目を細めた。,,,
年,年をとっていく自分を記録していく。,,,
時間,昼ごはんの時間ですよ。,,,
〜ちゃん,えいちゃんと遊びに行く。,,,
入る,犯人がコンビニに入る瞬間の映像です。,,,
下,鏡台の下に口紅が落ちていた。,,,
身,冬の寒さがより一層身にしみた。,,,
力,力では負けるが口では負けない。,,,
後,後から負け惜しみを言うのは格好悪いでしょ。,,,
感じる,こんなに切ない気持ちを感じるのは、これが初めてです。,,,
付ける,おまけを付けることはできますか。,,,
ちょっと,もうちょっとだけ恋人のふりをしてください。,,,
度,熱が三十九度も出ました。,,,
わかる,あなたの気持ちは痛いほどわかるよ。,,,
相手,相手から返事がこないのに手紙を書くのはむなしい。,,,
ただ,今日はただぼんやりして一日を過ごした。,,,
世界,世界で活躍する大人になりたい。,,,
いや,いや、そんなこと言われても無理ですよ。,,,
先,お箸の先で、人参をつついた。,,,
あげる,このゲームもういらないから君にあげる。,,,
だから,だからデートの前に鼻毛はちゃんと剃るように言ったじゃない。,,,
少女,犬と少女が、浜辺をかけていった。,,,
胸,彼と一緒にいると胸がドキドキする。,,,
首,首にタトゥーを彫ろうと思ってるんだ。,,,
体,体のデッサンは難しいよね。,,,
足,大抵のモデルの足は、スラリと長い。,,,
なかっ,君がそんな女だとは知らなかった。,,,
そういう,どうしてそういう酷いことを言うの？,,,
お前,お前の作る餃子は本当に美味しいな。,,,
一つ,一つだけ教えてください。,,,
本,趣味は本を読むことです。,,,
子供,子供は寝る時間ですよ。,,,
六,今日は営業で六軒得意先を回った。,,,
夜,ここは夜は星がとても綺麗です。,,,
よく,彼のことはまだよく知りません。,,,
外,外には野良犬がウロウロしています。,,,
光,コンピュータの光は目に悪い。,,,
以上,三つ以上買うとオマケがついてくる。,,,
立つ,どのくらい片足で立つことができますか？,,,
腰,腰が痛いなら、あんまに行ってきたらどう？,,,
いつ,いつになったら字幕無しで映画を観れるんだろう。,,,
指,縫い物をしている時に、指を針で刺してしまった。,,,
